N,static-1,static-8,static-16,static-32,dynamic-1,dynamic-8,dynamic-16,dynamic-32,guided-1,guided-8,guided-16,guided-32,auto
289,7,7,7,7,7,7,7,7,8,8,7,7,5
290,7,9,7,7,7,7,7,7,8,7,7,7,5
291,7,7,7,7,8,7,7,7,7,7,11,8,5
292,7,7,7,7,7,7,7,7,8,7,7,8,5
293,7,7,7,7,7,7,7,7,8,7,7,7,6
294,8,67,7,7,8,7,7,67,61,8,8,7,5
295,7,7,7,7,7,7,7,12,8,7,7,7,21
296,12,7,26,7,7,7,7,7,8,7,9,7,5
297,7,7,8,7,9,7,7,7,8,7,12,7,5
298,7,7,7,7,7,19,7,7,8,7,7,7,5
299,7,7,7,7,7,7,11,9,8,7,7,8,5
300,19,7,7,7,7,7,7,7,8,7,7,7,5
301,7,7,7,7,7,7,7,7,8,7,7,7,5
302,7,7,7,7,7,7,7,7,8,7,7,7,5
303,7,8,7,8,9,8,8,19,17,7,8,8,9
304,7,7,7,7,8,7,7,8,8,8,7,8,5
305,24,7,7,7,8,7,37,7,8,8,8,7,6
306,8,7,13,7,8,8,9,7,15,7,10,10,5
307,7,7,7,7,7,7,7,7,8,7,7,7,5
308,7,7,7,7,7,7,7,7,8,7,7,7,5
309,7,7,7,7,7,7,7,7,8,7,7,7,17
310,21,7,8,7,7,8,8,7,8,7,7,7,15
311,7,17,11,77,13,17,7,7,8,7,7,15,5
312,7,7,13,7,17,7,7,7,8,20,7,7,5
313,7,8,25,7,14,7,7,7,8,7,11,7,9
314,7,7,10,7,7,7,7,7,8,7,7,7,5
315,14,7,7,7,8,7,39,7,8,8,8,7,6
316,7,8,11,18,8,43,7,13,12,8,8,7,5
317,20,7,7,7,12,8,7,8,8,8,7,8,5
318,7,7,7,7,7,7,25,7,8,7,7,7,5
319,76,55,68,12,7,7,7,7,9,7,7,7,5
320,7,7,7,7,156,7,7,7,7,7,17,7,5
321,10,8,7,7,41,7,7,8,8,7,7,7,5
322,10,7,7,7,7,8,7,7,8,7,7,7,5
323,7,7,7,7,7,10,7,7,8,7,7,22,5
324,7,7,7,7,7,7,9,7,8,8,7,7,7
325,9,7,35,68,12,7,7,7,8,7,7,8,5
326,8,8,8,14,8,8,8,8,9,8,8,8,5
327,7,7,7,7,7,7,9,7,8,7,7,7,5
328,56,7,7,11,7,7,7,8,8,7,7,8,5
329,7,7,7,25,7,7,7,7,8,7,7,8,6
330,14,7,7,15,25,7,7,9,8,7,7,7,5
331,7,7,7,7,7,7,7,7,8,16,13,7,12
332,7,7,7,7,7,7,7,7,15,69,68,7,5
333,41,7,7,8,8,7,7,7,9,7,7,7,5
334,12,7,7,7,8,8,7,7,8,8,7,7,5
335,8,8,7,7,8,8,8,8,9,8,8,23,5
336,8,7,8,8,8,8,28,8,21,8,8,8,5
337,8,8,7,7,8,8,8,7,8,8,35,8,5
338,8,8,7,8,16,13,8,7,9,8,8,8,6
339,8,7,7,7,8,7,23,7,9,13,8,7,5
340,7,25,7,7,8,7,9,7,9,8,7,7,5
341,7,7,7,7,7,13,7,7,8,7,7,7,5
342,7,8,8,7,8,7,7,7,8,7,7,7,5
343,7,7,7,8,8,7,7,7,8,7,7,7,5
344,7,7,7,7,8,7,7,8,15,8,7,7,5
345,7,7,7,7,8,7,7,7,8,7,7,7,5
